country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_range,pollutant_avg_norm
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",2025-10-10 18:00:00,26.1209,85.3647,NO2,8.0,17.0,14.0,9.0,0.043333333333333335
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",2025-10-10 18:00:00,26.1209,85.3647,OZONE,31.0,88.0,61.0,57.0,0.2
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",2025-10-10 18:00:00,25.586562,85.043586,PM10,77.0,129.0,107.0,52.0,0.35333333333333333
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",2025-10-10 18:00:00,25.586562,85.043586,NO2,21.0,52.0,33.0,31.0,0.10666666666666667
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",2025-10-10 18:00:00,25.586562,85.043586,OZONE,19.0,64.0,53.0,45.0,0.17333333333333334
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",2025-10-10 18:00:00,25.592539,85.227158,NO2,14.0,18.0,16.0,4.0,0.05
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",2025-10-10 18:00:00,25.592539,85.227158,CO,17.0,31.0,24.0,14.0,0.07666666666666666
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",2025-10-10 18:00:00,25.610369,85.132568,CO,34.0,63.0,47.0,29.0,0.15333333333333332
India,Bihar,Patna,"Muradpur, Patna - BSPCB",2025-10-10 18:00:00,25.619651,85.147382,PM10,79.0,165.0,130.0,86.0,0.43
India,Bihar,Patna,"Muradpur, Patna - BSPCB",2025-10-10 18:00:00,25.619651,85.147382,NH3,4.0,5.0,5.0,1.0,0.013333333333333334
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",2025-10-10 18:00:00,25.599486,85.113666,PM10,41.0,88.0,63.0,47.0,0.20666666666666667
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",2025-10-10 18:00:00,26.446912,91.439057,PM2.5,50.0,53.0,53.0,3.0,0.17333333333333334
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",2025-10-10 18:00:00,26.446912,91.439057,NO2,1.0,10.0,5.0,9.0,0.013333333333333334
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",2025-10-10 18:00:00,26.446912,91.439057,NH3,1.0,4.0,2.0,3.0,0.0033333333333333335
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",2025-10-10 18:00:00,26.446912,91.439057,CO,6.0,28.0,23.0,22.0,0.07333333333333333
India,Assam,Silchar,"Tarapur, Silchar - PCBA",2025-10-10 18:00:00,24.82827,92.79525,NH3,1.0,1.0,1.0,0.0,0.0
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",2025-10-10 18:00:00,26.987634,94.636574,NO2,15.0,40.0,23.0,25.0,0.07333333333333333
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",2025-10-10 18:00:00,26.987634,94.636574,CO,13.0,29.0,15.0,16.0,0.04666666666666667
